make,model,year,hours,price,location,condition,serial_number,source,timestamp,listing_id,title,asset_type,auction,sale_date,buying_format,image_url,source_url,auction_type,buy_now,buy_now_text,features
John Deere,4640,1980.0,,,"Beaverlodge, AB, CAN",,4640H017541R,RitchieBros,2026-01-20 22:53:28.229233,5AB99687-C1E5-32AC-9630-F77BDAFE2AF0,1980 John Deere 4640 2WD Tractor,2WD Tractor,"Beaverlodge, AB, CAN - Apr 17, 2026",2026-04-17 14:00:00,Live Auction,https://cdn.ironpla.net/i/20257/551/8f7c1c8e-b6eb-4d4e-a91c-eea875bb51a7.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
1989,946,1989.0,,,"Insinger, SK, CAN",,D430807,RitchieBros,2026-01-20 22:53:28.229233,18CB3F75-4189-3230-9A0C-1425389261D7,1989 Ford Versatile 946 Articulated Tractor,Articulated Tractor,"Insinger, SK, CAN - Jun 23, 2026",2026-06-23 14:00:00,Live Auction,https://cdn.ironpla.net/i/20553/103/3a86de2d-f8b1-433c-a902-9d3c0aa8de1e.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Massey Ferguson,6713,2021.0,,,"Tulare, CA, USA",,AGCMC200PMC000584,RitchieBros,2026-01-20 22:53:28.229233,C437436E-80D7-3BAF-ADF6-E811E8CD7C39,2021 Massey Ferguson 6713 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20929/539/a74d9f1b-c69d-4ea1-bf5e-3d5e79e182d1.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
2024,Explorer 75 Natural,2024.0,,,"Caorso, EMRM, ITA",,ZKDMT402W0BS50018,RitchieBros,2026-01-20 22:53:28.229233,A8EF066B-DCA7-37A3-8DE4-E3BCCB2D5D50,2024 Same Explorer 75 Natural 4WD Tractor (Unused),4WD Tractor,"Caorso, ITA - Mar 19, 2026",2026-03-19 08:00:00,Live Auction,https://cdn.ironpla.net/i/21145/195/afcea462-7429-448e-a1c1-a741cfbe9cad.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,5100E,2015.0,,,"Davenport, FL, USA",,1LV5100ECFY340043,RitchieBros,2026-01-20 22:53:28.229233,E2E745A9-4618-39C8-B8A9-CCBA6C2B9658,2015 John Deere 5100E 4WD Tractor,4WD Tractor,"Orlando, FL, USA - Feb 16, 2026",2026-02-16 13:00:00,Live Auction,https://cdn.ironpla.net/i/20735/168/12d37b19-0644-3d83-b5a9-b7aa5a2ee668.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,3394,1985.0,,,"Wetaskiwin, AB, CAN",,9941238,RitchieBros,2026-01-20 22:53:28.229233,760676DE-0526-361F-A0FB-5E2658777114,1985 Case IH 3394 4WD Tractor,4WD Tractor,"Wetaskiwin, AB, CAN - Mar 31, 2026",2026-03-31 14:00:00,Live Auction,https://cdn.ironpla.net/i/19427/917/126e3f79-38cb-4c67-98ab-b68c65ae4278.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,4640,1981.0,,,"Strathmore, AB, CAN",,4640H023693RW,RitchieBros,2026-01-20 22:53:28.229233,A28E8B2E-41B2-3172-BE37-47510D596D52,1981 John Deere 4640 2WD Tractor,2WD Tractor,"Strathmore, AB, CAN - Apr 02, 2026",2026-04-02 14:00:00,Live Auction,https://cdn.ironpla.net/i/19454/164/84544cea-9cdf-475e-941b-2343f9bed8d9.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Steiger,Steiger,1985.0,,,"Luseland, SK, CAN",,C0605130,RitchieBros,2026-01-20 22:53:28.229233,C529BE50-576B-3D12-9A4A-76316958796E,1985 Steiger Cougar KR-1225 Articulated Tractor,Articulated Tractor,"Luseland, SK, CAN - Apr 08, 2026",2026-04-08 14:00:00,Live Auction,https://cdn.ironpla.net/i/19702/96/88afef69-3ae2-4f33-b28a-efaf35d0e465.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Challenger,Challenger,2008.0,,,"Dunnigan, CA, USA",,T080054,RitchieBros,2026-01-20 22:53:28.229233,4A592DE0-797A-3425-AF14-5362EA4C3A1B,2008 Challenger MT645B 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/21158/675/4fc656fb-136f-4a9d-93b8-d6ce4141237c.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Agco,9455,,,,"Amaranth, MB, CAN",,81171,RitchieBros,2026-01-20 22:53:28.229233,CB2CB8F9-F019-31DB-98E8-8D53C9C49956,Agco Allis 9455 4WD Tractor,4WD Tractor,"Amaranth, MB, CAN - Apr 15, 2026",2026-04-15 17:00:00,Live Auction,https://cdn.ironpla.net/i/20298/66/eb435c51-d4fd-4eaa-b6ae-132bd941ccc1.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Versatile,876,1988.0,,,"Nampa, AB, CAN",,330285,RitchieBros,2026-01-20 22:53:28.229233,EC05912C-A544-3DC1-BA21-80661F2B2159,1988 Versatile 876 Articulated Tractor,Articulated Tractor,"Nampa, AB, CAN - Apr 16, 2026",2026-04-16 14:00:00,Live Auction,https://cdn.ironpla.net/i/20784/29/327b0002-a15b-4daa-8dff-16922c00d7d4.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,7520,2006.0,,,"Tulare, CA, USA",,RW7520D053588,RitchieBros,2026-01-20 22:53:28.229233,422F8969-1802-39EC-8587-F99175A7245E,2006 John Deere 7520 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20858/155/d6bfb72f-8e02-407f-9ed0-c99903649258.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,4040,1980.0,,,"Richard, SK, CAN",,4040H007620R,RitchieBros,2026-01-20 22:53:28.229233,EC098E88-CEFE-3926-830F-8DB1730F6D94,1980 John Deere 4040 2WD Tractor,2WD Tractor,"Richard, SK, CAN - Apr 13, 2026",2026-04-13 14:00:00,Live Auction,https://cdn.ironpla.net/i/20645/606/0a41c065-0564-4c80-be20-e5352ae51dae.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,Case,2014.0,,,"Lethbridge County, AB, CAN",,ZDME22231,RitchieBros,2026-01-20 22:53:28.229233,F9A2CC34-5F81-3D71-B149-10705B53DA48,2014 Case IH Farmall 40B 4WD Utility Tractor,Utility Tractor,"Lethbridge, AB, CAN - Mar 19, 2026",2026-03-19 14:00:00,Live Auction,https://cdn.ironpla.net/i/21174/538/abdfcb52-7d6c-4f72-8c23-33ee2390f9ce.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Massey Ferguson,6713,2021.0,,,"Tulare, CA, USA",,AGCMC200TMC000583,RitchieBros,2026-01-20 22:53:28.229233,099DF40A-DE92-3F23-A347-073004FDCA54,2021 Massey Ferguson 6713 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20930/131/4ec5a1d3-1dda-4da3-8a46-219323fd950d.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,5090GN ,2017.0,,,"Phoenix, AZ, USA",,1AT5090GEHN403858,RitchieBros,2026-01-20 22:53:28.229233,A67633BE-D921-32D7-8F1F-DFD8AAAE9C01,2017 John Deere 5090GN 4WD Tractor,4WD Tractor,"Phoenix, AZ, USA - Feb 26, 2026",2026-02-26 16:00:00,Live Auction,https://cdn.ironpla.net/i/20955/198/68db235b-5add-48f4-af77-293f7ece30d0.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Allis Chalmers,7580,,,,"Amaranth, MB, CAN",,7520265081,RitchieBros,2026-01-20 22:53:28.229233,EB533129-C819-30C5-85F4-FD71FD42ADE8,Allis Chalmers 7580 Articulated Tractor,Articulated Tractor,"Amaranth, MB, CAN - Apr 15, 2026",2026-04-15 17:00:00,Live Auction,https://cdn.ironpla.net/i/20298/95/eadea223-cbfb-4409-86c0-c612b7ef058f.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case,4494,1986.0,,,"St Walburg, SK, CAN",,8866804,RitchieBros,2026-01-20 22:53:28.229233,DC9B8485-9D12-3DA8-9DB8-097CE485A5B1,1986 Case 4494 4WD Tractor,4WD Tractor,"St Walburg, SK, CAN - Apr 23, 2026",2026-04-23 14:00:00,Live Auction,https://cdn.ironpla.net/i/20645/175/9542d7d7-418a-4bc6-a22b-b388e40ef214.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,2394,1986.0,,,"Neville, SK, CAN",,9944557,RitchieBros,2026-01-20 22:53:28.229233,1B063836-5EA4-3D9F-A3C5-2D20DF03007D,1986 Case IH 2394 2WD Tractor,2WD Tractor,"Neville, SK, CAN - Mar 31, 2026",2026-03-31 18:00:00,Live Auction,https://cdn.ironpla.net/i/19001/143/abd93ce8-f8cd-4090-b4c1-83b77890e67a.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Massey Ferguson,6713,2021.0,,,"Tulare, CA, USA",,AGCMC200HMC000563,RitchieBros,2026-01-20 22:53:28.229233,EFDE1749-DCF1-36ED-9B84-5CD7A98DBB02,2021 Massey Ferguson 6713 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20930/148/fe97eeda-4778-4d0f-bbd1-7c301685fa64.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,4440,1978.0,,,"Glenside, SK, CAN",,4440H012505R,RitchieBros,2026-01-20 22:53:28.229233,9F80D001-B9BB-34AE-AA85-93E4BA36548B,1978 John Deere 4440 2WD Tractor,2WD Tractor,"Glenside, SK, CAN - Apr 15, 2026",2026-04-15 18:00:00,Live Auction,https://cdn.ironpla.net/i/19791/758/2c68df33-b322-4390-9268-f5502e49d35a.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,4440,1978.0,,,"Redvers, SK, CAN",,4440H009650R,RitchieBros,2026-01-20 22:53:28.229233,3A689E21-E9C0-3A20-981D-9AE2BFF9815A,1978 John Deere 4440 2WD Tractor,2WD Tractor,"Redvers, SK, CAN - Apr 14, 2026",2026-04-14 18:00:00,Live Auction,https://cdn.ironpla.net/i/19087/145/f1bf19c6-7a48-4ec8-8458-61194e6ba607.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Ford,876,1989.0,,,"Prince Albert, SK, CAN",,D430977,RitchieBros,2026-01-20 22:53:28.229233,3CE47442-BCF3-3BE5-90E2-82B0D84B665E,1989 Ford 876 Articulated Tractor,Articulated Tractor,"Prince Albert, SK, CAN - Apr 22, 2026",2026-04-22 14:00:00,Live Auction,https://cdn.ironpla.net/i/20413/665/13ea6394-8f3b-4b37-a90f-f8dd2bc7772f.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Massey Ferguson,6713,2021.0,,,"Tulare, CA, USA",,AGCMC200LMC000562,RitchieBros,2026-01-20 22:53:28.229233,BE6038E9-7CED-3215-8CA4-62A9D5387FDA,2021 Massey Ferguson 6713 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20930/146/31f6212a-3f94-4f43-9e20-4e35b061c805.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Massey Ferguson,6713,2021.0,,,"Tulare, CA, USA",,AGCMC200CMC000606,RitchieBros,2026-01-20 22:53:28.229233,0FF65B5C-44FD-31E2-898B-9387F6BCFCF3,2021 Massey Ferguson 6713 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20929/481/9451d91d-9854-45b2-b19f-ecb8e41b465f.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,4430,1976.0,,,"Denzil, SK, CAN",,4430H055161R,RitchieBros,2026-01-20 22:53:28.229233,01CD767A-918D-3539-B455-CBB714DCD73E,1976 John Deere 4430 2WD Tractor,2WD Tractor,"Denzil, SK, CAN - Apr 15, 2026",2026-04-15 14:00:00,Live Auction,https://cdn.ironpla.net/i/19685/584/e9ee3235-42ff-4051-940f-e823e7ec38ca.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Massey Ferguson,6713,2021.0,,,"Tulare, CA, USA",,AGDMC200PMC000570,RitchieBros,2026-01-20 22:53:28.229233,27C2B4BD-1A63-3D3E-969A-9BE5253F6F38,2021 Massey Ferguson 6713 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20930/135/35d8dd17-6f22-44de-a4b8-830d4e5ed5c6.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
New Holland,PowerStar T4.75,2012.0,,,"Amaranth, ON, CAN",,ZCAE04167,RitchieBros,2026-01-20 22:53:28.229233,2E743A05-896C-32AC-94A9-767D9C5130EE,2012 New Holland PowerStar T4.75 4WD Tractor,4WD Tractor,"Ontario Regional Event, CAN - Feb 09, 2026",2026-02-09 19:00:00,Live Auction,https://cdn.ironpla.net/i/21053/283/43c3421a-492b-4733-9cee-ed67ce7bb5b0.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,9200,2001.0,,,"Davenport, FL, USA",,40025,RitchieBros,2026-01-20 22:53:28.229233,C5BE1F2E-10CD-30C9-99FA-A31D7852729E,2001 John Deere 9200 Articulated Tractor,Articulated Tractor,"Orlando, FL, USA - Feb 16, 2026",2026-02-16 13:00:00,Live Auction,https://cdn.ironpla.net/i/21086/321/b774fe14-b0f4-4bcc-8357-99aceb91027c.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
White,2-155,1979.0,,,"St Jean Baptiste, MB, CAN",,290247,RitchieBros,2026-01-20 22:53:28.229233,6F192D95-C0B5-3EB9-84A1-0C1CE6DA0963,1979 White 2-155 4WD Tractor,4WD Tractor,"St Jean Baptiste, MB, CAN - Apr 17, 2026",2026-04-17 13:00:00,Live Auction,https://cdn.ironpla.net/i/20571/472/459e86ac-24e4-47e0-a263-deaa3f6d007a.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Kubota,M8200,2010.0,,,"Townsville, QLD, AUS",,3026411064,RitchieBros,2026-01-20 22:53:28.229233,24CCE60B-41CD-3EDC-9834-66BF062B60BC,2010 Kubota M8200 4WD Tractor,4WD Tractor,"Australia National Unreserved Auction, AUS - Feb 25, 2026",2026-02-24 22:00:00,Live Auction,https://cdn.ironpla.net/i/21122/673/efd11aba-7112-4dd5-9621-a19849d8d8c0.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Massey Ferguson,6713,2021.0,,,"Tulare, CA, USA",,AGCMC200CMC000565,RitchieBros,2026-01-20 22:53:28.229233,DC8CD180-403F-3FC3-A7D2-C147F29CA495,2021 Massey Ferguson 6713 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20929/133/5c88797a-3e3c-46f9-96a2-0db6e3cdc65d.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Massey Ferguson,6713,2021.0,,,"Tulare, CA, USA",,AGCMC200JMC000569,RitchieBros,2026-01-20 22:53:28.229233,5726D486-87B2-336B-9305-EDAFB7A13355,2021 Massey Ferguson 6713 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20929/472/0658023d-5b43-410a-9ef4-3bdf54621746.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,5100M,2014.0,,,"Tulare, CA, USA",,1LV5100MCEJ640549,RitchieBros,2026-01-20 22:53:28.229233,51F9FD7F-11E6-3242-9F6A-C3014783A974,2014 John Deere 5100M 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/21086/91/8fdcc64c-6004-4b42-a2da-5175936d2583.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Versatile,276,,,,"Amaranth, MB, CAN",,241474,RitchieBros,2026-01-20 22:53:28.229233,3B9E1DF2-6AC7-3DD1-A68D-545526F591AA,Versatile 276 Bi-Directional Tractor,Bi-Directional Tractor,"Amaranth, MB, CAN - Apr 15, 2026",2026-04-15 17:00:00,Live Auction,https://cdn.ironpla.net/i/20526/146/06f09f87-8ab6-4ec8-857f-4e99af9b4a03.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Massey Ferguson,6713,2021.0,,,"Tulare, CA, USA",,AGCMC200AMC000544,RitchieBros,2026-01-20 22:53:28.229233,094DA632-DB65-385D-8890-AA9FB6B76A15,2021 Massey Ferguson 6713 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20930/133/3fec9ab2-b865-43a4-ab21-18259096ae2c.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,790,1999.0,,,"Landis, SK, CAN",,LV0790G292717,RitchieBros,2026-01-20 22:53:28.229233,5B50FF1D-2842-3B1C-8DC2-5E4F54487CF3,1999 John Deere 790 4WD Utility Tractor,Utility Tractor,"Landis, SK, CAN - Apr 02, 2026",2026-04-02 14:00:00,Live Auction,https://cdn.ironpla.net/i/19677/193/64c9ac8d-bc99-4048-a019-d3f3136e2716.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
New Holland,4835,1997.0,,,"Chilliwack, BC, CAN",,001120702,RitchieBros,2026-01-20 22:53:28.229233,2363441F-2AD4-32AB-A37B-AC9771B914B0,1997 New Holland 4835 4WD Tractor,4WD Tractor,"BC Regional Event, CAN - Jan 30, 2026",2026-01-30 16:00:00,Live Auction,https://cdn.ironpla.net/i/21122/702/b0164df0-3370-466b-8229-9cc10966ccb5.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Kubota,B2650HSD,2016.0,,,"Amaranth, ON, CAN",,59899,RitchieBros,2026-01-20 22:53:28.229233,B54CEE23-D3F1-3C6C-A215-8F99BC39E048,2016 Kubota B2650HSD 4WD Utility Tractor,Utility Tractor,"Ontario Regional Event, CAN - Feb 09, 2026",2026-02-09 19:00:00,Live Auction,https://cdn.ironpla.net/i/20956/140/4782a675-a9cf-4adc-bcfb-5c57904ccd30.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,8430,1975.0,,,"Sibbald, AB, CAN",,8430H001536R,RitchieBros,2026-01-20 22:53:28.229233,C9BB83E9-75CF-3845-867C-D986396601A8,1975 John Deere 8430 Articulated Tractor,Articulated Tractor,"Sibbald, AB, CAN - Mar 11, 2026",2026-03-11 14:00:00,Live Auction,https://cdn.ironpla.net/i/19960/648/fb53cb2b-73b3-4066-971e-83db5dd5effc.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,8450,1984.0,,,"Vauxhall, AB, CAN",,RW8450H003821,RitchieBros,2026-01-20 22:53:28.229233,AF5F07BD-D785-38B1-BA0C-A7E1E1D0CB4E,1984 John Deere 8450 Articulated Tractor,Articulated Tractor,"Vauxhall, AB, CAN - Apr 07, 2026",2026-04-07 14:00:00,Live Auction,https://cdn.ironpla.net/i/19767/507/329b4fdd-1cfc-476a-a5a6-514f7c1b3111.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
International,5488,1982.0,,,"Borden, SK, CAN",,2590002U001287,RitchieBros,2026-01-20 22:53:28.229233,CF9A9E6F-276B-3E0E-A390-47B847C20BCA,1982 International 5488 2WD Tractor,2WD Tractor,"Borden, SK, CAN - Apr 11, 2026",2026-04-11 14:00:00,Live Auction,https://cdn.ironpla.net/i/20770/674/0db8f52b-f68c-4a40-aecc-dc1662d81913.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Kubota,BX23S,2019.0,,,"Chilliwack, BC, CAN",,29938,RitchieBros,2026-01-20 22:53:28.229233,2A85B216-8502-3FBC-BD9C-A6C31CCF7B71,2019 Kubota BX23S 4WD Utility Tractor,Utility Tractor,"BC Regional Event, CAN - Mar 12, 2026",2026-03-12 15:00:00,Live Auction,https://cdn.ironpla.net/i/21184/256/f841b172-6266-4135-a43d-bb535cbac63b.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Versatile,835,1980.0,,,"Sibbald, AB, CAN",,034456,RitchieBros,2026-01-20 22:53:28.229233,74952975-3FBC-3D42-8A11-EC56C0858AF4,1980 Versatile 835 Articulated 4WD Tractor,Articulated Tractor,"Sibbald, AB, CAN - Mar 12, 2026",2026-03-12 18:00:00,Live Auction,https://cdn.ironpla.net/i/20548/900/1ba89259-631b-4dd4-8597-c5de045fb983.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Steiger,ST250,,,,"Ste. Agathe, MB, CAN",,10400078C76,RitchieBros,2026-01-20 22:53:28.229233,4403305C-649D-3F79-94BA-7ECC0E39F958,Steiger ST250 4WD Tractor,4WD Tractor,"Manitoba Regional Event, CAN - Apr 21, 2026",2026-04-21 13:00:00,Live Auction,https://cdn.ironpla.net/i/20602/229/cbf4f139-e565-4f76-81f4-b99b46ae22bd.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Kubota,BX2370,2014.0,,,"Denzil, SK, CAN",,23689,RitchieBros,2026-01-20 22:53:28.229233,ABC31D6E-2CF3-3E1E-AC9C-2D82F38C105A,2014 Kubota BX2370 4WD Tractor,4WD Tractor,"Denzil, SK, CAN - Apr 15, 2026",2026-04-15 14:00:00,Live Auction,https://cdn.ironpla.net/i/19685/591/c532aebf-d8df-4670-b311-59bca12db433.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,5093EN,2012.0,,,"Tulare, CA, USA",,1LV5093EACZ471078,RitchieBros,2026-01-20 22:53:28.229233,22E78A27-41E5-30AF-9979-96AB980253E7,2012 John Deere 5093EN 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/21086/96/d58b85f3-8b0d-48b1-b7c6-908123a8ae4d.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Kubota,B26,2021.0,,,"North Franklin, CT, USA",,KBU111HRCL1L58974,RitchieBros,2026-01-20 22:53:28.229233,717A10C9-7D28-3F4E-AFC1-BB33D16E6E9C,2021 Kubota B26 4WD Utility Tractor,Utility Tractor,"Northeast Regional Event, USA - Feb 04, 2026",2026-02-04 13:00:00,Live Auction,https://cdn.ironpla.net/i/20268/305/efd749eb-db59-4c7f-a96e-2246163ebb64.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,1026R,2012.0,,,"Middle Lake, SK, CAN",,1LV1026RCCH214275,RitchieBros,2026-01-20 22:53:28.229233,90860BDA-A49B-3C39-AE8D-FE2FFE326AB8,2012 John Deere 1026R 4WD Utility Tractor,Utility Tractor,"Middle Lake, SK, CAN - Apr 08, 2026",2026-04-08 18:00:00,Live Auction,https://cdn.ironpla.net/i/20799/358/dd48aff2-2fa8-44f2-ae3c-845f8848e50b.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,2032R,2021.0,,,"Newnan, GA, USA",,1LV2032RVMM121385,RitchieBros,2026-01-20 22:53:28.229233,8B3A895C-DDE9-3DC3-B3DA-6D438D7143B3,2021 John Deere 2032R 4WD Utility Tractor,Utility Tractor,"Southeast Regional Event, USA - Mar 23, 2026",2026-03-23 12:00:00,Live Auction,https://cdn.ironpla.net/i/21190/134/3235b01e-eff5-416a-9e81-abc5cd10c29b.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Kubota,M126X,2012.0,,,"Tulare, CA, USA",,50247,RitchieBros,2026-01-20 22:53:28.229233,07F5CB6F-886A-395D-BD8C-0C8421F43244,2012 Kubota M126X 4WD Tractor,4WD Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/21129/940/375c7510-30c6-46d7-8b89-3294e87c2ce9.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case,2390,1983.0,,,"Edgerton, AB, CAN",,9925628,RitchieBros,2026-01-20 22:53:28.229233,094E04DB-B0A0-35EF-8521-C049DB0212A1,1983 Case 2390 2WD Tractor,2WD Tractor,"Edgerton, AB, CAN - Apr 24, 2026",2026-04-24 14:00:00,Live Auction,https://cdn.ironpla.net/i/19456/191/5d382543-72b0-4694-a17e-406be2c22db7.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,2032R,2021.0,,,"Dunnigan, CA, USA",,1LV2032RLMM120921,RitchieBros,2026-01-20 22:53:28.229233,80DFD93C-C8D0-3CD3-A1F0-3A06A3808EC9,2021 John Deere 2032R Utility Tractor,Utility Tractor,"California Regional Event, USA - Feb 12, 2026",2026-02-12 17:00:00,Live Auction,https://cdn.ironpla.net/i/20272/719/07a1438f-4835-4798-bf2f-c92b5855b4fa.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
John Deere,4430,1975.0,,,"Melville, SK, CAN",,038716R,RitchieBros,2026-01-20 22:53:28.229233,CE94850C-A932-3D3F-B60D-5F9DF38ABEA9,1975 John Deere 4430 2WD Tractor,2WD Tractor,"Melville, SK, CAN - Apr 20, 2026",2026-04-20 18:00:00,Live Auction,https://cdn.ironpla.net/i/20798/327/d0a7062d-2f5a-48ca-935e-61f8e2939587.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case,2090,1981.0,,,"Rabbit Lake, SK, CAN",,9912631,RitchieBros,2026-01-20 22:53:28.229233,93C3921A-093E-3C3E-80D0-810077306473,1981 Case 2090 2WD Tractor,2WD Tractor,"Rabbit Lake, SK, CAN - Apr 14, 2026",2026-04-14 14:00:00,Live Auction,https://cdn.ironpla.net/i/20305/786/8527195c-3feb-44b6-947f-3d8e2088d145.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Case IH,2394,,,,"Enchant, AB, CAN",,JJA0041490,RitchieBros,2026-01-20 22:53:28.229233,BDB6370F-59A0-3745-9EDD-698EA419632B,Case IH 7110 2WD Tractor,2WD Tractor,"Enchant, AB, CAN - Mar 26, 2026",2026-03-26 14:00:00,Live Auction,https://cdn.ironpla.net/i/20293/348/c25b8260-2cc2-48ee-ae57-16e7d7dc181a.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
Valtra,N101,2009.0,,,"St Aubin Sur Gaillon, HN, FRA",,U32440,RitchieBros,2026-01-20 22:53:28.229233,8CBF69C1-0F4D-3839-BEED-DFD11DC69756,2009 Valtra N101 4x4 Tracteur Agricole 4WD Tractor (Inoperable),4WD Tractor,"France, FRA - Mar 24, 2026",2026-03-24 07:00:00,Live Auction,https://cdn.ironpla.net/i/20643/244/551bbcbe-9be0-4b0c-9eaa-f8eb6f9fc4d3.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
McCormick,XTX185,2006.0,,,"Caorso, EMRM, ITA",,XT85AC4JJE3500532,RitchieBros,2026-01-20 22:53:28.229233,4DB4373F-D01B-34AE-8962-1EB541261926,2006 McCormick XTX185 4WD Tractor,4WD Tractor,"Caorso, ITA - Mar 19, 2026",2026-03-19 08:00:00,Live Auction,https://cdn.ironpla.net/i/21197/138/f6739cf7-7ca6-4110-82a6-865fda083e1a.jpg,https://www.rbauction.com/cp/agricultural-tractors,,,,
